9.489118745938440043e+02,3.126978142133789902e+02
1.019537978914170026e+03,3.226451528500450081e+02
1.094143018689160044e+03,3.325924914867100028e+02
1.171234893123320035e+03,3.380635277368759830e+02
1.224453154829479899e+03,3.455240317143760080e+02
2.642315083289580002e+02,3.918177088075519805e+02
3.350743755509190009e+02,3.946326571739870133e+02
4.092013492003879946e+02,3.960401313572049844e+02
4.852049550941479765e+02,3.922868668686239744e+02
5.391581321174950290e+02,3.936943410518420023e+02
7.301149649094529650e+02,3.563328024535899772e+02
7.924565692905860033e+02,3.640338241712590275e+02
8.599321881501649614e+02,3.706346999292609894e+02
9.274078070097450563e+02,3.732017071684840062e+02
9.772810905146510549e+02,3.783357216469310060e+02
1.586568237121289258e+03,2.298160844734132979e+02
1.569862432752841642e+03,2.751073763167599964e+02
1.548330507122398103e+03,3.374757126256308197e+02
1.525684861200724754e+03,3.920480068958927973e+02
1.503039215279051632e+03,4.388242591275458722e+02
2.169119129656076552e+02,6.633442806100754296e+01
2.104152112667669599e+02,1.197001920157704831e+02
2.104152112667669599e+02,1.925560610670555945e+02
2.043825596892720000e+02,2.579871281768084827e+02
1.997420584758143605e+02,3.155293432236833269e+02
1.071440546364357033e+03,1.320185726464014238e+02
1.058698628193727473e+03,1.782080260149334379e+02
1.045160340137433650e+03,2.411212469824166931e+02
1.028834757481314455e+03,2.980616938074173845e+02
1.013305544710859749e+03,3.486311815471033242e+02
1.732498100737900586e+03,1.647737407361757391e+02
1.710915279287696649e+03,2.115365205449510881e+02
1.685335639050417740e+03,2.734872117446107040e+02
1.658157271298309070e+03,3.302420385210730842e+02
1.630179539788785405e+03,3.798025914808007997e+02
