9.357961111229330387e-01,2.071030019369669850e-02,2.048018475457170084e-01
9.464266537451589967e-01,-4.884022923025359980e-02,1.976866529333199951e-01
9.582397564252409516e-01,-1.252278983653919986e-01,1.913860355823480131e-01
9.711742483447519669e-01,-2.053168816532359997e-01,1.908239265541999963e-01
9.809426323306640327e-01,-2.688377436746309801e-01,1.849801025348649930e-01
7.776134408376239593e-01,6.979294417020690533e-01,1.325815763408909886e-01
8.334966186393839571e-01,6.386186388816349480e-01,1.337817668574959873e-01
8.928243339213820517e-01,5.757859902031059463e-01,1.356295930222899959e-01
9.524816939273329508e-01,5.140094624318249927e-01,1.435051703726100136e-01
9.993554333143559454e-01,4.646131876245729875e-01,1.460212943924749929e-01
1.058816421348480086e+00,2.560292349961350022e-01,1.874028335817239932e-01
1.083049263371500093e+00,1.897727488217320069e-01,1.844270425570629923e-01
1.109181232813130080e+00,1.168332309964889987e-01,1.766083794919469929e-01
1.138951000126839919e+00,3.613088464990400067e-02,1.750958236018400060e-01
1.159387968480829922e+00,-1.978980447071010049e-02,1.724540101191630037e-01
1.024697079088832563e+00,-8.028765124148279364e-01,3.772552406652152635e-01
1.050450493258791917e+00,-7.908301041995717817e-01,3.260156680531329232e-01
1.092276740638399968e+00,-7.686148055294684811e-01,2.497187332808858684e-01
1.130645556661425521e+00,-7.482433434118893611e-01,1.797091035718136609e-01
1.166305679988379307e+00,-7.289996239885744300e-01,1.154524278459123643e-01
7.995942305972257858e-01,8.687894205728445840e-01,5.358039410614898745e-01
8.181108574869352390e-01,8.804560070768764346e-01,4.750226794311779299e-01
8.474130483351918208e-01,8.887309597889696544e-01,3.973506892655371825e-01
8.686390204726406328e-01,9.061353422895297438e-01,3.203508782879138095e-01
8.880776395381977384e-01,9.191501579795230414e-01,2.551487100706295030e-01
1.180659102846359110e+00,-1.385834192649335606e-01,5.019799091792548351e-01
1.201315760963845847e+00,-1.258890507387945279e-01,4.452173633031329958e-01
1.230286246705770470e+00,-1.076215060051898265e-01,3.659130965005393810e-01
1.256583451688811470e+00,-8.994404064642405605e-02,2.946442695430473990e-01
1.279211684571010643e+00,-7.208329809269736765e-02,2.350542312842552051e-01
8.694538055514465791e-01,-9.460684185197956175e-01,4.427727663711537587e-01
9.052647438976132443e-01,-9.279174381078599820e-01,3.922125072668040668e-01
9.470656996056702193e-01,-9.109480416700702632e-01,3.164345772001748158e-01
9.905839321779106310e-01,-8.907486488681090053e-01,2.476088424288104828e-01
1.035313661325094614e+00,-8.663212142749411315e-01,1.914342733141137232e-01
