1.697611981895230429e+02,4.216672986490272592e+02
1.736564464118223441e+02,4.738636248278374978e+02
1.837840917898004705e+02,5.439780928292244653e+02
1.907955385899391558e+02,6.078601636749326644e+02
1.985860350345377014e+02,6.662888870094217282e+02
1.607039451501563235e+03,4.732238272066085187e+02
1.589823006876478757e+03,5.194363890949930465e+02
1.568075918929003819e+03,5.837715242729402689e+02
1.539985930330181873e+03,6.399515014705842759e+02
1.517332713718228661e+03,6.897885780168813881e+02
8.059224390516867516e+02,3.659569776301928528e+02
8.002335336763683244e+02,4.114682206327406107e+02
7.959668546448793904e+02,4.740461797612438204e+02
7.888557229257312429e+02,5.323574598582581530e+02
7.810334780346684056e+02,5.842687214080391414e+02
8.158202613420139642e+02,5.512173223531078747e+01
8.088916921636263169e+02,1.042515864093322762e+02
8.019631229852386696e+02,1.716476684172848763e+02
7.937748139562349934e+02,2.321151812468498008e+02
7.849566350019234733e+02,2.831346451967951907e+02
1.694192606671811063e+03,7.319779357477062831e+01
1.664025152354429338e+03,1.157416394069754801e+02
1.625348928870606869e+03,1.791706459204445423e+02
1.584352131977754880e+03,2.317703098584432553e+02
1.549543530842314567e+03,2.781817780390304051e+02
1.062847700943963900e+03,8.913701207807821447e+01
1.045848019777420859e+03,1.429693357721308757e+02
1.024126204953504839e+03,2.156901940956757073e+02
1.002404390129588933e+03,2.789667851044744680e+02
9.806825753056729127e+02,3.337435355300017363e+02
