8.742270395290794305e-01,9.825282252565834540e-01,7.748645499602389852e-02
8.844253202420517823e-01,9.785961986404564383e-01,1.553327275792275655e-02
8.989471256720922288e-01,9.719210283846739795e-01,-6.562810807394402202e-02
9.057885514991476095e-01,9.755662205137998200e-01,-1.483870897380818454e-01
9.155277667068755232e-01,9.737541719865431267e-01,-2.202919179716587572e-01
1.023629229775540272e+00,-7.851400011558987702e-01,4.002674685102259461e-02
1.044417342384563741e+00,-7.626217733788510644e-01,-1.543768750231955603e-02
1.056321416146635217e+00,-7.468372291149797393e-01,-1.022640192950712706e-01
1.078267049669151545e+00,-7.224773028937597763e-01,-1.720183940777925136e-01
1.099271347039999291e+00,-6.992400487441154944e-01,-2.372986449849024404e-01
1.235034388568751362e+00,2.219547316208667631e-01,1.733071102875363423e-01
1.243090365637864680e+00,2.287988398301475657e-01,1.128740985677731540e-01
1.253716302322008813e+00,2.364638217798186171e-01,3.378054543749783867e-02
1.264858390495028129e+00,2.386146160701966279e-01,-4.648336710823620932e-02
1.272770083406698172e+00,2.534021987483461857e-01,-1.094947782436156147e-01
1.123515987349144263e+00,2.094998418556088815e-01,5.556300225154324757e-01
1.147453934256883468e+00,2.148253986783005276e-01,4.931906902979161789e-01
1.177295451200353726e+00,2.269877041599760170e-01,4.146308832202896810e-01
1.206807079647826964e+00,2.341718596984541378e-01,3.375724261863753961e-01
1.231052494949776310e+00,2.485980202028435782e-01,2.731509168179173663e-01
8.433468656807104891e-01,-8.322773751125216446e-01,5.054193888463575091e-01
8.872400273684543093e-01,-8.035030711452364471e-01,4.639093072377859506e-01
9.395301340482514751e-01,-7.760837683191126324e-01,3.986940149019908564e-01
9.926370534666191237e-01,-7.448505862112828613e-01,3.402403860130931434e-01
1.042350770947441330e+00,-7.146568304796467874e-01,2.877189782845338550e-01
1.032770941733061276e+00,-8.945768690256121480e-02,4.635534637472819020e-01
1.062787885592538784e+00,-6.793830007847931340e-02,4.049122758364158692e-01
1.098241408845703981e+00,-4.660420863488843463e-02,3.317122877320050067e-01
1.133352861793693656e+00,-2.511898733960500965e-02,2.595628611323494428e-01
1.165221509036221015e+00,2.848492791039759081e-03,2.022429923358867176e-01
