4.619577586246636542e+02,6.171039144883587824e+02
4.637226460216528494e+02,6.912291851619058889e+02
4.743119704035881341e+02,7.877096961973163616e+02
4.796066325945557764e+02,8.736008828507915496e+02
4.854895905845198740e+02,9.447846745293567210e+02
4.280714405012204793e+02,3.575894084623344042e+02
4.308467596140432079e+02,4.001443015256164131e+02
4.379392417912569044e+02,4.581176341045802474e+02
4.419480360653341791e+02,5.089984845063304419e+02
4.453400927587841807e+02,5.552538030533760320e+02
1.612290928614759878e+03,3.581571746629118138e+02
1.600830387553394758e+03,4.029574715391571544e+02
1.585723310699777130e+03,4.623439115844126377e+02
1.568532499107729564e+03,5.149582137297705913e+02
1.552383554884896967e+03,5.613213116598384431e+02
1.566319131359771291e+03,6.319729168476717405e+02
1.555684898901576616e+03,6.776114978140899439e+02
1.544607573424290649e+03,7.387583344487087516e+02
1.528213131717907345e+03,7.928156827778644811e+02
1.514920341145164230e+03,8.397835428015571324e+02
9.465584687341821564e+02,3.258575087228427947e+02
9.434298727547865155e+02,3.665292564549861254e+02
9.424912939609678233e+02,4.209668264964702757e+02
9.377983999918743621e+02,4.707115025688609649e+02
9.340440848165995931e+02,5.135732674865812442e+02
1.680797714315282519e+03,3.632306765654843161e+02
1.666606762217354117e+03,4.091147550154533405e+02
1.649577619699839715e+03,4.729740394561318340e+02
1.629237255026142066e+03,5.302108795844436600e+02
1.608423858615846939e+03,5.789331484539983421e+02
1.575350512341251772e+02,1.461952856680826471e+02
1.603223458339503793e+02,1.959684035221042109e+02
1.710733392904190566e+02,2.632616588607413632e+02
1.770461134329016488e+02,3.273694346567211824e+02
1.830188875753842410e+02,3.851062513673862213e+02
